f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,class
0.000000,0.000000,0.100000,0.141421,1.081665,2.120268,5.043609,8.048411,11.530516,16.412495,-1.017821,-0.404281,-0.139137,-0.005220,0.000000,0.024866,0.123607,0.411094,0.984861,3.667423,0.000000,0.000000,0.000000,0.004223,0.078446,0.176922,0.527726,1.041850,1.494210,3.301515,0.952400,0.989825,0.996546,0.998456,0.999646,0.999942,1.000000,1.000000,1.000000,1.000000,4.917624,3.523074,16.412495,4.675649,-0.015329,-0.012433,0.483736,3.667423,-2.801199,3.667423,0.743526,0.576515,-0.616592,0.755558,0.457205,3.301515,0.681820,0.982177,0.976479,0.514496,0.057593,0.066452,0.018761,3304.643157,15.650000,24.472843,24.089457,0.255591,4.000000,109.000000,4.000000,296.000000,2.715596,0.032984,0.001210,0.116081,2207.500000,1.000000
0.347851,3.606938,5.702718,6.831019,8.338444,9.344624,10.316144,12.265202,13.597316,15.901258,-1.362521,-1.063493,-0.568228,-0.100000,0.000000,0.100342,0.754618,1.093912,1.353706,9.115542,0.022348,0.095666,0.181203,0.322129,0.499313,0.689695,0.916537,1.185816,1.779008,17.025315,0.970232,0.994418,0.996832,0.998508,0.999256,0.999704,0.999873,0.999964,0.999992,1.000000,8.089636,7.788782,15.901258,4.467120,-0.016491,-0.016217,0.978309,9.115542,-9.588830,9.588830,1.482843,0.958117,-1.033107,0.874361,0.812684,17.025315,1.383312,0.987152,0.986761,0.532451,0.045087,0.080169,0.010080,1884.885224,4.050000,29.876543,28.641975,1.481481,4.000000,9.000000,0.000000,13.000000,1.444444,0.004775,0.000000,0.037037,1807.290000,1.000000
0.000000,0.000000,0.100000,0.223607,0.854400,1.220656,2.401868,3.954084,7.890687,11.002272,-0.984724,-0.613094,-0.138091,0.000000,0.000000,0.040201,0.200000,0.403659,0.941189,3.354102,0.000000,0.000000,0.000000,0.000000,0.063246,0.166435,0.417626,1.044479,1.479892,4.733327,0.961112,0.987176,0.995121,0.997175,0.998775,0.999648,0.999972,1.000000,1.000000,1.000000,2.984861,2.162501,11.002272,3.062382,0.000000,0.000000,0.480356,3.354102,-2.213594,3.354102,0.716796,0.558510,-0.611932,0.747764,0.451721,4.733327,0.718291,0.983971,0.979771,0.532724,0.048339,0.086505,0.039322,635.775328,4.916667,25.627119,23.389831,0.610169,3.000000,38.000000,2.000000,91.000000,2.394737,0.059770,0.003146,0.128814,417.640000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.141421,0.223607,2.267157,-0.141421,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082185,0.141421,1.906602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063246,4.164960,0.980581,0.998409,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.305954,0.109860,2.267157,0.273361,-0.008234,-0.004149,0.134222,1.906602,-2.043550,2.043550,0.321664,0.275072,-0.258694,0.380988,0.063498,4.164960,0.354646,0.985232,0.955343,0.514496,0.057120,0.003937,0.035145,28.453758,4.333333,14.076923,15.923077,0.230769,1.000000,50.000000,4.000000,176.000000,3.520000,1.757237,0.140579,0.192308,17.060000,1.000000
0.000000,0.100000,1.507601,4.079126,6.255385,8.026316,9.616803,10.897423,14.192483,17.140012,-1.083938,-0.625196,-0.200526,-0.040766,0.000000,0.039727,0.141421,0.592284,1.042454,2.726333,0.000000,0.000000,0.061798,0.146435,0.288152,0.496112,0.781286,1.028808,1.369998,4.305226,0.959426,0.991893,0.998151,0.999343,0.999848,0.999949,0.999989,1.000000,1.000000,1.000000,7.796602,6.323911,17.140012,5.221374,-0.040578,-0.034091,0.559024,2.726333,-3.370302,3.370302,0.826429,0.624809,-0.705965,0.741111,0.567542,4.305226,0.726876,0.985189,0.981399,0.543251,0.053112,0.098113,0.015227,1707.455863,4.516667,25.018450,25.018450,1.107011,4.000000,10.000000,1.000000,51.000000,5.100000,0.005857,0.000586,0.036900,1160.130000,1.000000
0.100000,0.360555,2.979258,6.167171,8.237718,9.484725,10.573077,11.681866,13.419386,31.618982,-1.160198,-0.637522,-0.233405,-0.083386,0.000000,0.106223,0.282843,0.659501,1.139985,26.793010,0.000000,0.020565,0.074341,0.158427,0.300345,0.615181,0.993017,1.152016,1.576001,30.020625,0.982796,0.996185,0.998439,0.999301,0.999697,0.999863,0.999950,0.999997,1.000000,1.000000,7.946143,7.178370,31.618982,5.204987,-0.002072,-0.001942,0.715731,26.793010,-24.236570,26.793010,1.431054,0.755358,-0.772318,0.810644,0.683821,30.020625,1.217452,0.989761,0.988769,0.529999,0.041562,0.041798,0.005800,9138.064673,21.233333,28.304553,27.833595,1.224490,18.000000,63.000000,1.000000,138.000000,2.190476,0.006894,0.000109,0.049451,7599.160000,1.000000
0.000000,0.200000,3.962323,5.625720,6.551336,7.617873,9.080681,11.109996,12.280082,15.190787,-1.094037,-0.695417,-0.200000,-0.098846,0.000000,0.096770,0.200000,0.652593,1.117468,2.628227,0.000000,0.000000,0.099675,0.184566,0.300145,0.406858,0.641093,0.957370,1.265073,4.854921,0.947951,0.989005,0.997782,0.998929,0.999517,0.999887,0.999970,0.999993,1.000000,1.000000,7.370283,6.364101,15.190787,4.415973,-0.017176,-0.015411,0.611639,2.628227,-3.089763,3.089763,0.872107,0.640068,-0.726581,0.670030,0.534647,4.854921,0.717385,0.984554,0.982206,0.707107,0.041446,0.135417,0.020915,1864.681571,4.900000,27.755102,25.714286,1.020408,4.000000,15.000000,1.000000,40.000000,2.666667,0.008044,0.000536,0.051020,1361.190000,1.000000
4.877077,6.765500,7.825088,8.857652,9.749359,10.473967,11.482596,12.946737,15.547859,20.751145,-1.102214,-0.694584,-0.363416,-0.162800,-0.021848,0.102827,0.329188,0.643067,1.076840,3.472604,0.046219,0.100442,0.176467,0.299538,0.549919,0.835142,1.035188,1.169830,1.798831,8.586422,0.982641,0.996588,0.998624,0.999389,0.999760,0.999897,0.999963,0.999990,0.999998,1.000000,9.992589,9.918097,20.751145,4.268742,-0.008012,-0.007944,0.642033,3.472604,-3.175492,3.472604,0.863662,0.663813,-0.632446,0.811741,0.798760,8.586422,0.959618,0.993876,0.993836,0.737309,0.019053,0.066381,0.006657,9313.093370,15.666667,28.595745,30.765957,2.106383,22.000000,5.000000,0.000000,9.000000,1.800000,0.000537,0.000000,0.005319,5376.440000,1.000000
0.000000,0.000000,0.000000,0.100000,0.141421,1.081665,4.654277,9.274157,11.564764,13.602941,-0.793269,-0.141421,-0.081333,0.000000,0.000000,0.000000,0.100000,0.141421,0.699807,2.282911,0.000000,0.000000,0.000000,0.000000,0.000000,0.063246,0.209024,0.802481,1.217049,4.572070,0.974855,0.995779,0.998508,0.999779,0.999994,1.000000,1.000000,1.000000,1.000000,1.000000,5.469459,3.286447,13.602941,4.644872,-0.015035,-0.010455,0.345533,2.282911,-3.315199,3.315199,0.603694,0.462245,-0.534566,0.721932,0.357026,4.572070,0.654943,0.988887,0.981901,0.600000,0.041290,0.038377,0.011614,3013.671778,15.300000,21.699346,19.934641,0.457516,6.000000,98.000000,12.000000,388.000000,3.959184,0.032518,0.003982,0.106754,1615.000000,1.000000
0.000000,1.065818,4.218722,7.496799,10.400239,11.667476,12.390358,13.071648,13.703501,15.952429,-1.057141,-0.424885,-0.142463,-0.036628,0.000000,0.084975,0.200795,0.429099,0.927006,3.450420,0.000000,0.007977,0.064684,0.126491,0.224577,0.500405,0.897565,1.088482,1.312951,3.892567,0.989988,0.997270,0.998875,0.999409,0.999749,0.999863,0.999967,0.999999,1.000000,1.000000,9.138137,8.072623,15.952429,5.335787,-0.010597,-0.009706,0.506720,3.450420,-3.336995,3.450420,0.751088,0.519092,-0.590618,0.674679,0.558562,3.892567,0.672231,0.992380,0.991465,0.533993,0.033490,0.035750,0.004407,8169.494164,16.883333,28.667325,26.179664,0.355380,4.000000,52.000000,3.000000,134.000000,2.576923,0.006365,0.000367,0.051333,4186.820000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.141421,0.302874,0.500000,1.941649,-0.299658,-0.141421,-0.100000,0.000000,0.000000,0.000000,0.081386,0.141421,0.340777,0.780533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.060298,0.131754,0.867722,0.894427,0.950900,0.980810,0.994651,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.429193,0.200952,1.941649,0.376660,0.001895,0.001300,0.151505,0.780533,-0.716478,0.780533,0.228247,0.222732,-0.218943,0.245702,0.058569,0.867722,0.157433,0.958902,0.938898,0.514496,0.099568,0.041667,0.201354,34.764611,2.900000,20.344828,20.344828,0.000000,0.000000,41.000000,0.000000,99.000000,2.414634,1.179360,0.000000,0.235632,9.070000,1.000000
0.000000,0.000000,0.100000,1.131319,4.755958,6.735726,8.094131,10.446806,11.910877,15.799051,-1.019006,-0.412517,-0.118295,0.000000,0.000000,0.023592,0.141421,0.301811,0.845852,4.115481,0.000000,0.000000,0.000000,0.023818,0.099537,0.264716,0.625574,1.023356,1.275667,3.557479,0.952989,0.991729,0.997837,0.999027,0.999654,0.999857,0.999996,1.000000,1.000000,1.000000,6.941012,5.060221,15.799051,4.923793,-0.033742,-0.026863,0.473871,4.115481,-4.123944,4.123944,0.777823,0.535371,-0.661226,0.736744,0.469704,3.557479,0.675610,0.984560,0.980379,0.569210,0.052108,0.072131,0.014025,1568.668660,5.183333,24.887460,22.572347,0.578778,3.000000,32.000000,2.000000,94.000000,2.937500,0.020399,0.001275,0.102894,931.570000,1.000000
0.000000,0.100000,1.215715,4.558287,5.663921,7.228965,9.284812,10.793186,12.160670,17.044941,-1.070140,-0.658148,-0.216245,-0.081556,0.000000,0.003179,0.141421,0.442444,1.119367,4.772939,0.000000,0.000000,0.008505,0.081965,0.170262,0.362011,0.895052,1.109309,1.382955,5.310118,0.977904,0.993853,0.997776,0.998961,0.999505,0.999865,0.999994,1.000000,1.000000,1.000000,7.282620,5.838134,17.044941,4.735732,-0.010220,-0.008809,0.563181,4.772939,-2.599217,4.772939,0.837481,0.682594,-0.627455,0.740844,0.536191,5.310118,0.696451,0.991670,0.990190,0.571064,0.028561,0.083799,0.014156,2119.242470,6.066667,24.230769,27.197802,0.164835,1.000000,26.000000,1.000000,74.000000,2.846154,0.012269,0.000472,0.071429,1475.100000,1.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.215388,5.685596,7.172612,9.259050,-0.311442,-0.140134,0.000000,0.000000,0.000000,0.000000,0.000000,0.067123,0.141421,2.154503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.184839,0.710435,3.889607,0.993031,0.999320,0.999979,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4.607321,1.840031,9.259050,3.050659,-0.042558,-0.020541,0.222711,2.154503,-2.080396,2.154503,0.479717,0.457771,-0.464523,0.729703,0.216379,3.889607,0.561375,0.995803,0.988674,0.894427,0.014533,0.044728,0.023926,585.129781,5.316667,13.166144,15.611285,0.376176,2.000000,31.000000,4.000000,199.000000,6.419355,0.052980,0.006836,0.097179,321.660000,1.000000
0.000000,0.000000,0.100000,1.029563,4.119794,6.747592,9.115178,11.401245,14.063450,15.805062,-1.087511,-0.799927,-0.141421,-0.041421,0.000000,0.005141,0.141421,0.682187,1.125014,2.340270,0.000000,0.000000,0.000000,0.019528,0.103773,0.349858,0.565396,0.908458,1.329273,3.197433,0.967517,0.995020,0.998639,0.999345,0.999763,0.999922,1.000000,1.000000,1.000000,1.000000,7.492574,5.407376,15.805062,5.557313,-0.030962,-0.025239,0.591388,2.340270,-3.277264,3.277264,0.857151,0.702691,-0.747749,0.754693,0.472131,3.197433,0.683151,0.987933,0.985131,0.581814,0.044600,0.043478,0.007851,1146.363771,3.550000,23.943662,24.507042,0.281690,1.000000,23.000000,1.000000,67.000000,2.913043,0.020063,0.000872,0.107981,877.390000,1.000000
0.000000,0.000000,0.000000,0.000000,0.100000,0.223607,4.932442,7.794476,9.911254,12.214745,-0.511359,-0.123607,0.000000,0.000000,0.000000,0.000000,0.014224,0.142384,0.712220,2.183772,0.000000,0.000000,0.000000,0.000000,0.000000,0.020504,0.127552,0.465093,1.081076,4.530916,0.981986,0.997021,0.999088,0.999777,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,5.624043,2.827222,12.214745,4.026689,0.000000,0.000000,0.332393,2.183772,-2.493506,2.493506,0.625948,0.537952,-0.589678,0.688677,0.285549,4.530916,0.608708,0.991629,0.985587,0.707107,0.029871,0.035616,0.012427,1046.072076,6.183333,18.436658,16.819407,0.970350,4.000000,34.000000,6.000000,188.000000,5.529412,0.032503,0.005736,0.091644,763.640000,1.000000
0.000000,0.000000,0.141421,2.302173,5.445181,6.757062,7.870577,9.013878,9.755914,14.797973,-1.135758,-0.744531,-0.141421,-0.023271,0.000000,0.039476,0.141421,0.682991,1.131371,6.437949,0.000000,0.000000,0.000000,0.072853,0.141442,0.277368,0.482906,0.880959,1.248099,11.353090,0.975347,0.994909,0.998237,0.999082,0.999697,0.999915,0.999998,1.000000,1.000000,1.000000,6.174394,4.768841,14.797973,4.208428,-0.026749,-0.022752,0.635648,6.437949,-6.026998,6.437949,1.040761,0.691859,-0.807637,0.740786,0.513316,11.353090,1.049457,0.985765,0.983339,0.536875,0.055382,0.063187,0.013070,1759.702313,6.166667,26.432432,24.324324,1.135135,6.000000,32.000000,3.000000,88.000000,2.750000,0.018185,0.001705,0.086486,1507.400000,1.000000
0.141421,0.223607,0.360555,0.500000,0.640312,0.943398,1.131371,1.204159,1.341641,3.178050,-0.861098,-0.562031,-0.223607,-0.109067,0.000000,0.093909,0.223273,0.497806,0.859890,1.661354,0.000000,0.024807,0.050656,0.078446,0.126913,0.266096,0.487961,1.229776,1.923231,5.269443,0.867930,0.926092,0.963813,0.982889,0.991131,0.996597,0.998714,0.999610,0.999987,1.000000,0.788495,0.756377,3.178050,0.526963,-0.006181,-0.006029,0.475690,1.661354,-2.631300,2.631300,0.628355,0.493849,-0.481719,0.607684,0.544435,5.269443,0.775115,0.954584,0.951489,0.501036,0.084670,0.146091,0.191178,371.381103,8.200000,28.414634,29.878049,0.243902,2.000000,30.000000,0.000000,31.000000,1.033333,0.080780,0.000000,0.060976,192.600000,1.000000
0.000000,0.235454,2.280351,4.661961,6.239391,8.482092,10.192546,11.063453,13.008219,14.930506,-1.058128,-0.499677,-0.165880,-0.066572,0.000000,0.071999,0.144948,0.382511,1.058737,2.285361,0.000000,0.006867,0.083460,0.141421,0.297641,0.528017,0.878844,1.121362,1.290046,3.011052,0.968438,0.995256,0.997964,0.998955,0.999506,0.999793,0.999888,0.999997,1.000000,1.000000,7.336058,6.426979,14.930506,4.853166,-0.013965,-0.012996,0.536123,2.285361,-3.001250,3.001250,0.797975,0.562118,-0.590048,0.687013,0.553979,3.011052,0.608414,0.984025,0.982433,0.611264,0.053823,0.067251,0.010313,2230.161778,5.800000,27.758621,27.758621,0.172414,1.000000,24.000000,1.000000,51.000000,2.125000,0.010762,0.000448,0.068966,1201.850000,1.000000
0.000000,0.223607,2.316433,4.609551,5.838628,6.835642,7.854550,8.718945,10.173402,22.135944,-1.176482,-0.755835,-0.190173,-0.063336,0.000000,0.056246,0.198841,0.737642,1.146119,14.673148,0.000000,0.014241,0.081100,0.132954,0.231228,0.418287,0.732841,1.115279,1.778108,23.926427,0.968255,0.993338,0.997671,0.998862,0.999530,0.999791,0.999935,0.999994,1.000000,1.000000,6.102592,5.357027,22.135944,3.965770,-0.001301,-0.001156,0.834533,14.673148,-14.109582,14.673148,1.739497,0.967156,-0.912225,0.901881,0.742365,23.926427,1.630964,0.987206,0.985209,0.588986,0.042779,0.070938,0.013092,2367.805858,7.383333,25.733634,27.358916,2.844244,13.000000,17.000000,2.000000,63.000000,3.705882,0.007180,0.000845,0.038375,2543.300000,1.000000
0.000000,0.000000,1.215313,5.187677,6.795217,7.500533,8.456529,10.423330,12.883235,14.729902,-1.103520,-0.693715,-0.155993,-0.001144,0.000000,0.000000,0.168672,0.591714,1.054164,2.288795,0.000000,0.000000,0.000000,0.086616,0.248877,0.365470,0.563263,0.801741,1.146781,2.967941,0.993376,0.997991,0.999088,0.999685,0.999871,0.999975,0.999997,1.000000,1.000000,1.000000,7.867952,6.039484,14.729902,4.660312,-0.026615,-0.021536,0.541176,2.288795,-2.284107,2.288795,0.764097,0.650700,-0.686412,0.599118,0.421288,2.967941,0.526843,0.993423,0.991304,0.639579,0.028595,0.057348,0.009328,1715.213446,4.750000,23.789474,24.421053,0.000000,0.000000,13.000000,1.000000,71.000000,5.461538,0.007579,0.000583,0.045614,1214.180000,1.000000
0.100000,0.223607,1.169614,4.156651,6.794115,9.126580,11.298875,12.710690,14.708226,20.624258,-1.131348,-0.692139,-0.234615,-0.111860,0.000000,0.078075,0.141421,0.514944,1.019993,11.704056,0.000000,0.016609,0.064266,0.141155,0.242180,0.575353,0.965866,1.155618,1.457310,24.042375,0.969570,0.990931,0.996303,0.998475,0.999322,0.999787,0.999897,0.999993,1.000000,1.000000,7.397521,6.843309,20.624258,5.600989,-0.030901,-0.029690,0.712669,11.704056,-7.720103,11.704056,1.350322,0.735886,-0.747242,0.925906,0.795795,24.042375,2.203502,0.988939,0.987809,0.698537,0.034234,0.079470,0.011424,2100.895825,5.133333,27.662338,29.610390,1.168831,4.000000,17.000000,0.000000,29.000000,1.705882,0.008092,0.000000,0.055195,1598.070000,1.000000
0.147279,1.177208,3.811941,5.626833,6.788561,7.524194,8.435756,9.919359,13.714624,15.931416,-1.212338,-0.982477,-0.239118,-0.092432,0.000000,0.101428,0.363357,0.884488,1.163107,3.324154,0.000000,0.060613,0.133257,0.208134,0.360593,0.519766,0.735383,1.016286,1.323791,4.262428,0.971439,0.995002,0.998201,0.999014,0.999431,0.999835,0.999920,0.999983,0.999999,1.000000,7.066336,6.509741,15.931416,4.540576,-0.011191,-0.010653,0.730012,3.324154,-3.544596,3.544596,0.979560,0.747619,-0.786618,0.662037,0.586960,4.262428,0.705554,0.986685,0.985687,0.612034,0.046691,0.059233,0.008943,1900.844353,4.883333,28.668942,28.054608,1.023891,5.000000,11.000000,0.000000,24.000000,2.181818,0.005787,0.000000,0.037543,1464.090000,1.000000
