sepal_len,sepal_wid,petal_len,petal_wid,class
5.5,4.4,1.9,0.6,Iris-setosa
7.9,4.4,4.7,1.7,Iris-versicolor
7.9,4.4,4.7,1.7,Iris-versicolor
7.9,4.4,6.9,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
7.9,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
7.9,4.4,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
7.9,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
6.2,3.0,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
7.9,4.4,4.7,1.7,Iris-versicolor
6.2,3.0,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,4.4,6.9,2.5,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
7.9,2.9,6.9,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
7.9,2.9,4.7,1.7,Iris-versicolor
7.9,3.0,4.7,1.7,Iris-versicolor
7.9,2.9,6.9,1.7,Iris-versicolor
7.9,3.0,6.9,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,6.9,1.7,Iris-versicolor
5.5,3.0,4.7,1.7,Iris-versicolor
6.2,4.4,4.7,1.7,Iris-versicolor
7.9,4.4,4.7,1.7,Iris-versicolor
7.9,2.9,4.7,1.7,Iris-versicolor
6.2,3.0,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
6.2,3.0,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,3.0,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
5.5,2.9,4.7,1.7,Iris-versicolor
6.2,2.9,4.7,1.7,Iris-versicolor
7.9,4.4,6.9,2.5,Iris-virginica
6.2,2.9,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
5.5,2.9,4.7,1.7,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
6.2,2.9,6.9,2.5,Iris-virginica
6.2,2.9,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
6.2,2.9,6.9,1.7,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
6.2,2.9,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
6.2,2.9,6.9,2.5,Iris-virginica
6.2,3.0,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,3.0,6.9,1.7,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,2.9,6.9,1.7,Iris-virginica
6.2,2.9,6.9,1.7,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
6.2,3.0,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
6.2,2.9,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,4.4,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
7.9,2.9,6.9,2.5,Iris-virginica
7.9,3.0,6.9,2.5,Iris-virginica
6.2,4.4,6.9,2.5,Iris-virginica
6.2,3.0,6.9,2.5,Iris-virginica
