Probability,Conditional Probability,Weight Of Evidence,Order,class,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77
0.163056,0.927367,2.905572,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-007
0.117902,0.927354,2.905382,2,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.095781,0.927152,2.902389,2,7,,,,,,,,,,,,,,,,,,,1.8e-005,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140365,0.925564,2.879104,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,,,
0.134778,0.924160,2.858894,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.136260,0.923493,2.849423,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,7.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,
0.140821,0.923019,2.842739,2,7,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.143330,0.922907,2.841164,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.145952,0.922190,2.831125,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,0.000101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.154846,0.920678,2.810236,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,0.000184,,,,,,,,,,,,,,,,,,,,,,,
0.134778,0.920561,2.808632,2,7,2.5e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.147548,0.920341,2.805636,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,
0.158495,0.919921,2.799910,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-007
0.121779,0.919897,2.799585,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-007
0.142645,0.919853,2.798992,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,565000,,,
0.138655,0.919818,2.798524,2,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.139453,0.919549,2.794875,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,565000,,,
0.151995,0.919310,2.791655,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-007
0.087913,0.918951,2.786822,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,5e-007
0.137628,0.918569,2.781706,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.138997,0.917922,2.773080,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.134778,0.917702,2.770165,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.143444,0.916910,2.759721,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.144356,0.916727,2.757327,2,7,,,,,,,,0.000124,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.148005,0.916667,2.756537,2,7,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.140365,0.916605,2.755725,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.090650,0.915899,2.746524,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,5e-007
0.147206,0.915603,2.742690,2,7,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.141277,0.915066,2.735769,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,0.000649,,,,,,,,,,,,,,,,,,,,,,,,,,
0.067275,0.913313,2.713412,2,7,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.240251,0.912516,2.703394,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.084835,0.911765,2.694016,2,7,,,,,,,,,,,,,,,,3e-006,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.110376,0.911488,2.690579,2,7,,,,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.092588,0.911336,2.688694,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,
0.143900,0.911191,2.686910,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.146180,0.911159,2.686504,2,7,,,,,,,0.000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.093044,0.910714,2.681029,2,7,,,,,,,,,,,,,,,,,,,1.8e-005,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.228962,0.910658,2.680332,2,7,,,,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.076397,0.910326,2.676264,2,7,,,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.245154,0.909475,2.665889,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.113341,0.909424,2.665259,2,7,,,3.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.086887,0.909308,2.663855,2,7,,,,,,,,,,,,,,,,,,,1.8e-005,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.230787,0.909254,2.663205,2,7,,,,3.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.119612,0.908225,2.650795,2,7,,,,,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.156442,0.907407,2.641024,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,0.000581,,,,,,,,,,,,,,,,,,,,
0.122805,0.907329,2.640096,2,7,,,,,,,,,,,,,,,,,2.9e-005,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.095553,0.906926,2.635312,2,7,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239225,0.906655,2.632103,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.089624,0.906574,2.631149,2,7,2.5e-005,,,,,,,,,0.000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.089624,0.906574,2.631149,2,7,2.5e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.232041,0.906459,2.629785,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.147891,0.906359,2.628611,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,0.000649,,,,,,,,,,,,,,,,,,,,,,,,,,
0.184151,0.905777,2.621768,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.143558,0.905104,2.613913,2,7,,,,,,8.6e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.271836,0.904744,2.609724,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.088712,0.904651,2.608649,2,7,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.239567,0.904045,2.601638,2,7,,,,,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.129875,0.903968,2.600757,2,7,,,,,,,,,,,,,-5e-006,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.189852,0.903909,2.600072,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.247548,0.903454,2.594847,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,0.0184,,,,,,,,,,,,,
0.247434,0.903414,2.594387,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,,,,28200,,
0.123375,0.903172,2.591618,2,7,,2.7e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.084835,0.902913,2.588656,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,0.000298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.241619,0.902855,2.587995,2,7,,,,,5.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.244356,0.902696,2.586186,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.277309,0.902412,2.582957,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.237058,0.902344,2.582183,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.190992,0.901992,2.578203,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.226112,0.901774,2.575729,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.157811,0.901629,2.574095,2,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
0.144812,0.901348,2.570940,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,28200,,
0.188141,0.901147,2.568675,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-007
0.153820,0.901136,2.568548,2,7,,,,,,,,,0.000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,,,,,,,,,,,,,,
0.233979,0.900395,2.560261,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115165,0.900178,2.557848,2,7,,,,,,,,,,,,,,,,,,,1.8e-005,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.149031,0.900138,2.557397,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,28200,,
0.232611,0.899471,2.550001,2,7,,,3.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.233295,0.899341,2.548561,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.241391,0.899320,2.548337,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.149943,0.898224,2.536287,2,7,,,,,,,,,,,,,,,,,,4.3e-005,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.234436,0.898209,2.536121,2,7,,,3.1e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
0.237400,0.898188,2.535894,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,7.4e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.242873,0.897976,2.533581,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.234778,0.897950,2.533296,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,,,,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.193615,0.897938,2.533158,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28200,,
0.094299,0.897937,2.533151,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,5e-007
0.140365,0.897885,2.532581,2,7,2.5e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.149031,0.897665,2.530185,2,7,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.118472,0.897237,2.525532,2,7,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.085861,0.895363,2.505370,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,
0.153820,0.895156,2.503165,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,73100,,,,,,,,,,,,,,
0.148119,0.894628,2.497554,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968,,,,,0.0184,,,,,,,,,,,,,
0.245610,0.894518,2.496389,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,8.2e-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.157583,0.894498,2.496178,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,73100,,,,,,,,,,,,,,
0.152566,0.893788,2.488668,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,0.0184,,,,,,,,,,,,,
0.244356,0.893661,2.487340,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565000,,,
0.088597,0.893103,2.481482,2,7,,,,,,,,,,,,,,,,,4e-006,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.197948,0.893004,2.480442,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,
